"","length","type","chr"
"gene89",23536,"protein_coding","chr11"
"gene90",3066,"protein_coding","chr11"
"gene91",98791,"protein_coding","chr11"
"gene92",146619,"protein_coding","chr11"
"gene93",16242,"protein_coding","chr11"
"gene94",246687,"protein_coding","chr12"
"gene95",172134,"protein_coding","chr12"
"gene96",33736,"protein_coding","chr12"
"gene97",84524,"protein_coding","chr12"
"gene98",3388,"protein_coding","chr12"
"gene99",75454,"protein_coding","chr12"
"gene100",85442,"protein_coding","chr12"
"gene101",341331,"protein_coding","chr13"
"gene102",129521,"protein_coding","chr13"
"gene103",282394,"protein_coding","chr13"
"gene104",8506,"protein_coding","chr14"
"gene105",111359,"protein_coding","chr14"
"gene106",55985,"protein_coding","chr14"
"gene107",56108,"protein_coding","chr14"
"gene108",207978,"protein_coding","chr14"
"gene109",494279,"protein_coding","chr14"
"gene110",166192,"protein_coding","chr14"
"gene111",17939,"protein_coding","chr14"
"gene112",116148,"protein_coding","chr15"
"gene113",55750,"protein_coding","chr15"
"gene114",78314,"protein_coding","chr15"
"gene115",225325,"protein_coding","chr15"
"gene116",134248,"protein_coding","chr15"
"gene117",964,"pseudogene","chr15"
"gene118",74121,"protein_coding","chr15"
"gene119",39968,"protein_coding","chr15"
"gene120",312016,"protein_coding","chr15"
"gene121",24025,"protein_coding","chr16"
"gene122",58454,"protein_coding","chr16"
"gene123",144509,"protein_coding","chr16"
"gene124",21172,"protein_coding","chr17"
"gene125",11408,"protein_coding","chr17"
"gene126",83330,"protein_coding","chr17"
"gene127",54061,"protein_coding","chr17"
"gene128",190785,"protein_coding","chr17"
"gene129",166543,"protein_coding","chr18"
"gene130",156676,"protein_coding","chr18"
"gene131",78754,"protein_coding","chr18"
"gene132",38722,"protein_coding","chr18"
"gene133",154857,"protein_coding","chr18"
"gene134",25636,"protein_coding","chr19"
"gene135",109738,"protein_coding","chr19"
"gene136",35983,"protein_coding","chr19"
"gene137",75177,"protein_coding","chr19"
"gene138",11569,"protein_coding","chr19"
"gene139",38380,"protein_coding","chr20"
"gene140",27623,"protein_coding","chr20"
"gene141",113486,"protein_coding","chr20"
"gene142",4844,"protein_coding","chr22"
"gene143",954,"others","chrM"
"gene144",1559,"others","chrM"
"gene145",207,"protein_coding","chrM"
"gene146",784,"protein_coding","chrM"
"gene147",346,"protein_coding","chrM"
"gene148",297,"protein_coding","chrM"
"gene149",17593,"protein_coding","chrX"
"gene150",22138,"protein_coding","chrX"
"gene151",7559,"protein_coding","chrX"
"gene152",2250,"protein_coding","chrX"
"gene153",64122,"protein_coding","chrX"
"gene154",1265,"protein_coding","chrX"
"gene155",61852,"protein_coding","chrX"
